Mã_tin,Tiêu_đề,Đường,Quận,Thành_phố,Diện_tích,Giá,Pháp_lý,Số_phòng_ngủ,Số_phòng_toilet,Ngày_đăng,Mô_tả,chi_tiet_link
121287,💥Chính chủ cần bán gấp căn nhà sổ riêng 1 trệt 1 lầu ngay khu dân cư Miền Đông,Vĩnh Cửu,Vĩnh Cửu,Đồng Nai,100 m²,2 tỷ 250 triệu,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,08/10/2024,💥Chính chủ cần bán gấp căn nhà sổ riêng 1 trệt 1 lầu ngay khu dân cư Miền Đông ( liên hệ ngay 0792531840),https://batdongsan.vn/chinh-chu-can-ban-gap-can-nha-so-rieng-1-tret-1-lau-ngay-khu-dan-cu-mien-dong-r121287
121228,"Bán Nhà mặt phố Yên Duyên, Yên Sở, kinh doanh đỉnh, dòng tiền tốt",yên duyên,Hoàng Mai,Hà Nội,84 m²,16 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,,,04/10/2024,"Nhà mặt phố Yên Duyên, phường Yên Sở - khu vực hiếm nhà bán",https://batdongsan.vn/ban-nha-mat-pho-yen-duyen-yen-so-kinh-doanh-dinh-dong-tien-tot-r121228
121182,GIÁP KHU TÊN LỬA - GẦN CHỢ LÊ ĐÌNH CẨN - HẺM 5M - 27M2 - SỔ ĐẸP GIÁ 2.7 TỶ,Lê Đình Cẩn,Bình Tân,Hồ Chí Minh,27 m²,2 tỷ 700 triệu,Sổ đỏ/ Sổ hồng,1 phòng,2 phòng,02/10/2024,"- DT : 3x9m ( CN: 26.5m2). Kết cấu: 1trệt, 1 lửng, 2VS",https://batdongsan.vn/giap-khu-ten-lua-gan-cho-le-dinh-can-hem-5m-27m2-so-dep-gia-27-ty-r121182
121101,DÒNG SẢN PHẨM HIẾM BÁN NHÀ CÓ DÒNG TIỀN ỔN ĐỊNH. 536M THẠNH XUÂN 25 Q12.,Thạnh Xuân 25,Quận 12,Hồ Chí Minh,536 m²,17 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,01/10/2024,"DÒNG SẢN PHẨM CỰC HIẾM -  BÁN NHÀ CÓ DÒNG TIỀN ỔN ĐỊNH. DT THỰC TẾ: 536M, SỔ CN: 383M - THẠNH XUÂN 25 - QUẬN 12.",https://batdongsan.vn/dong-san-pham-hiem-ban-nha-co-dong-tien-on-dinh-536m-thanh-xuan-25-q12-r121101
121141,BÁN NHÀ ĐA SỸ - NGÕ THÔNG KINH DOANH - Ô TÔ VÀO NHÀ-LH : 0964577405,Đa Sỹ,Hà Đông,Hà Nội,35 m²,5 tỷ 900 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,02/10/2024,LÔ 5 CĂN ĐA SỸ - NGÕ THÔNG KINH DOANH - Ô TÔ VÀO NHÀ,https://batdongsan.vn/ban-nha-da-sy-ngo-thong-kinh-doanh-o-to-vao-nha-lh-0964577405-r121141
121066,"Nhà mới SHR đã hoàn công 2 tầng lầu 68m2, KDC Bình Chuẩn,  Thuận An, BD, Giá chỉ 3 .45 tỷ thương",Bình Chuẩn,Thuận An,Bình Dương,68 m²,3 tỷ 450 triệu,Sổ đỏ/ Sổ hồng,5 phòng,3 phòng,01/10/2024,- Nhà sổ riêng - đã HOÀN CÔNG,https://batdongsan.vn/nha-moi-shr-da-hoan-cong-2-tang-lau-68m2-kdc-binh-chuan-thuan-an-bd-gia-chi-3-45-ty-thuong-r121066
121027,"NHÀ ĐẸP LUNG LINH VÀO Ở NGAY - Q THỦ ĐỨC - HẺM XE HƠI - CHỈ 6,3 TỶ.",2,Thủ Đức,Hồ Chí Minh,64 m²,6 tỷ 300 triệu,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,01/10/2024,Mô tả:,https://batdongsan.vn/nha-dep-lung-linh-vao-o-ngay-q-thu-duc-hem-xe-hoi-chi-63-ty-r121027
120991,NHÀ 4 TẦNG - HẺM THÔNG THOÁNG - QUẬN 10 GIÁ DƯỚI 2 TỶ,Tô Hiến Thành,Quận 10,Hồ Chí Minh,12 m²,1 tỷ 820 triệu,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,01/10/2024,Mô tả:,https://batdongsan.vn/nha-4-tang-hem-thong-thoang-quan-10-gia-duoi-2-ty-r120991
120993,NHÀ TRUNG TÂM QUẬN 10 -  DƯỚI 2 TỶ - HẺM RÔNG THÔNG THOÁNG,Tô Hiến Thành,Quận 10,Hồ Chí Minh,12 m²,1 tỷ 800 triệu,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,01/10/2024,Mô tả:,https://batdongsan.vn/nha-trung-tam-quan-10-duoi-2-ty-hem-rong-thong-thoang-r120993
120914,"Chỉ trên 4 tỷ có ngay căn nhà Ngõ 409 Kim mã, oto cách nhà 10m",Kim Mã,Ba Đình,Hà Nội,27 m²,4 tỷ 150 triệu,Sổ đỏ/ Sổ hồng,,,30/09/2024,"- Ngõ 409 Kim Mã chạy thông tứ tung ra Kim Mã, Ngọc Khánh, Nguyễn Công Hoan, Nguyễn Chí Thanh...",https://batdongsan.vn/chi-tren-4-ty-co-ngay-can-nha-ngo-409-kim-ma-oto-cach-nha-10m-r120914
120872,"Nhà 4 tầng gần Nguyễn Duy Trinh MT kinh doanh,122m2 ,8PN , ô tô ngủ, HC",42,Quận 2,Hồ Chí Minh,122 m²,11 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,8 phòng,7 phòng,29/09/2024,"Nhà 4 tầng gần Nguyễn Duy Trinh MT kinh doanh,122m2 ,8PN , ô tô ngủ, HC",https://batdongsan.vn/nha-4-tang-gan-nguyen-duy-trinh-mt-kinh-doanh122m2-8pn-o-to-ngu-hc-r120872
120956,NHÀ MẶT TIỀN 3 TẦNG - HẺM XE TẢI - KHU KINH DOANH SẦM UẤT NHẤT QUẬN 10 NHỈNH 5 TỶ,Tô Hiến Thành,Quận 10,Hồ Chí Minh,20 m²,5 tỷ 400 triệu,Sổ đỏ/ Sổ hồng,2 phòng,3 phòng,30/09/2024,Mô tả:,https://batdongsan.vn/nha-mat-tien-3-tang-hem-xe-tai-khu-kinh-doanh-sam-uat-nhat-quan-10-nhinh-5-ty-r120956
120802,"Nhà đẹp Hoàng Hoa Thám, P.6,5 tầng, 99 m2 sd,tặng full NT",Hoàng Hoa Thám,Bình Thạnh,Hồ Chí Minh,25 m²,5 tỷ 350 triệu,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,28/09/2024,"Nhà đẹp Hoàng Hoa Thám, P.6,5 tầng, 99 m2 sd,tặng full NT",https://batdongsan.vn/nha-dep-hoang-hoa-tham-p65-tang-99-m2-sdtang-full-nt-r120802
120769,"Chính chủ bán nhà 1 trệt 2 lầu Phường 3, trung tâm TP Vũng Tàu.",Trương Công Định,Vũng Tàu,Bà Rịa Vũng Tàu,43 m²,4 tỷ,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,28/09/2024,"Chính chủ bán nhà 1 trệt 2 lầu Phường 3, trung tâm TP Vũng Tàu.",https://batdongsan.vn/chinh-chu-ban-nha-1-tret-2-lau-phuong-3-trung-tam-tp-vung-tau-r120769
120770,"BÁN NHÀ 4 TẦNG, HẺM XE HƠI ĐẶNG VĂN BI - GẦN 70M², NGANG KHỦNG 5,3M, PHƯỜNG TRƯỜNG THỌ, THỦ ĐỨC -",Đặng Văn Bi,Thủ Đức,Hồ Chí Minh,69 m²,7 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,3 phòng,4 phòng,28/09/2024,"CHỦ GẤP BÁN NHÀ 4 TẦNG ĐẸP LUNG LINH, PHƯỜNG TRƯỜNG THỌ, THỦ ĐỨC, HẺM XE HƠI ĐẶNG VĂN BI - GẦN 70M², NGANG KHỦNG 5,3M - 4 TẦNG BTCT - GIÁ NHỈNH 7 TỶ",https://batdongsan.vn/ban-nha-4-tang-hem-xe-hoi-dang-van-bi-gan-70m2-ngang-khung-53m-phuong-truong-tho-thu-duc-r120770
120721,"Bán nhà riêng Tân Lập, Đan Phượng 38m2*5T. Đối diện trường Mầm Non Tân Lập. Ngõ Ôtô đỗ cửa",Ngõ 45,Đan Phượng,Hà Nội,38 m²,4 tỷ 500 triệu,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,27/09/2024,"Bán nhà riêng Tân Lập, Đan Phượng 38m2*5T. Đối diện trường Mầm Non Tân Lập. Ngõ Ôtô đỗ cửa.",https://batdongsan.vn/ban-nha-rieng-tan-lap-dan-phuong-38m25t-doi-dien-truong-mam-non-tan-lap-ngo-oto-do-cua-r120721
